AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,DATE_BUILD,REG_FEE,COMMIS,SALES_PRICE,Area
Karapakkam,627,49,1.0,1.0,2,0,19-08-1983,223975,92225,6587500,12
Velachery,1563,43,2.0,1.0,4,0,23-08-1977,303780,195987,9799360,15
Karapakkam,1693,187,2.0,2.0,4,2,01-08-2003,384045,166420,12801500,12
T Nagar,1522,85,1.0,1.0,4,0,10-04-1966,506181,174545,17454510,13
Adyar,1090,171,1.0,1.0,3,2,28-07-1980,373632,98324,9832420,0
Chrompet,1085,149,1.0,1.0,3,2,21-01-2008,387815,100545,14363500,7
T Nagar,1687,73,1.0,1.0,4,0,16-08-1996,411733,224582,12476770,13
Adyar,692,62,1.0,1.0,2,2,22-09-1971,394491,124576,10381355,0
T Nagar,1518,145,1.0,1.0,4,2,13-07-1971,457606,158402,17600240,13
Adyar,1025,125,1.0,1.0,3,0,17-05-1983,349916,142153,10934875,0
KK Nagar,2170,121,3.0,2.0,5,2,22-07-2002,593864,284560,12372160,9
Chrompet,969,70,1.0,1.0,3,2,27-05-1994,337463,146234,11248750,7
KK Nagar,1546,129,2.0,1.0,4,0,16-04-1981,441475,142411,14241140,9
KK Nagar,1709,6,2.0,1.0,4,2,29-10-1989,467388,233694,10160600,9
T Nagar,1659,103,1.0,1.0,4,2,12-04-1995,433251,216625,13539080,13
Chrompet,755,8,1.0,1.0,2,0,17-01-1982,289649,42911,10727750,7
Adyar,1182,50,1.0,1.0,3,2,28-10-1990,374948,39468,9867055,0
Adyar,735,67,1.0,1.0,2,0,10-03-1998,284361,132702,9478710,0
Chrompet,1089,0,1.0,1.0,3,2,27-04-1981,235305,45251,9050200,7
Velachery,1534,6,2.0,1.0,4,2,18-01-1952,284552,63234,7904210,15
Anna Nagar,1622,147,1.0,1.0,4,2,27-07-2002,378840,209015,13063450,4
KK Nagar,2198,71,3.0,2.0,5,2,10-09-1987,679249,122265,13584980,9
Chrompet,1293,34,2.0,1.0,4,0,19-05-1975,419714,157393,13116050,7
KK Nagar,1641,178,2.0,1.0,4,0,24-10-1980,460580,190239,10012600,9
Velachery,1950,185,3.0,2.0,5,2,13-09-1964,411601,84741,12105920,15
Karapakkam,1245,106,1.0,1.0,3,0,02-09-1983,201653,113123,4918375,12
Chrompet,905,144,1.0,1.0,3,0,20-09-1976,223393,77032,7703200,7
KK Nagar,1496,135,2.0,1.0,4,0,27-02-1998,265641,137105,8569080,9
Velachery,1892,38,3.0,2.0,5,2,01-12-1969,449425,133613,12146620,15
Velachery,1517,40,2.0,1.0,4,0,08-07-1999,408507,116716,11671620,15
Adyar,1034,73,1.0,1.0,3,2,03-06-1993,277702,46284,9256740,0
Velachery,1755,142,2.0,1.0,4,2,15-06-1974,581720,193907,14915900,15
Anna Nagar,1622,79,1.0,1.0,4,2,22-04-2006,406434,243860,13547790,4
Chrompet,1092,89,1.0,1.0,3,0,14-05-2009,246391,57491,8213040,7
Chrompet,821,34,1.0,1.0,3,0,04-01-2006,182600,65736,7304000,7
KK Nagar,1694,72,2.0,1.0,4,0,10-07-1997,353291,114300,10390900,9
Anna Nagar,1809,177,2.0,1.0,5,0,28-03-1984,518585,230482,19206870,4
Karapakkam,1401,20,2.0,2.0,4,2,08-11-1997,438477,229204,9965375,12
Karapakkam,1470,99,2.0,2.0,4,0,04-03-1986,302694,172968,7207000,12
Chrompet,798,166,1.0,1.0,2,0,24-04-1976,253975,145129,9070550,7
Chrompet,764,137,1.0,1.0,2,0,23-02-2000,158766,90723,5670200,7
Chrompet,1135,50,1.0,1.0,3,0,01-10-1985,296102,148051,9253200,7
Karapakkam,939,74,1.0,1.0,3,0,02-08-1971,214700,38646,4294000,12
Karapakkam,1586,59,2.0,2.0,4,2,03-09-1981,586956,200424,14316000,12
T Nagar,1973,63,2.0,1.0,5,2,07-02-1972,885666,116535,23307000,13
Chrompet,1023,44,1.0,1.0,3,2,15-05-1990,282319,38941,9735150,7
Chrompet,884,75,1.0,1.0,3,0,23-09-2006,283410,45346,11336400,7
Anna Nagar,1640,113,1.0,1.0,4,0,15-05-2005,495645,194718,17701600,4
Adyar,622,60,1.0,1.0,2,0,25-06-1987,216906,72302,6572900,0
Anna Nagar,1880,90,2.0,1.0,5,2,27-11-1993,483229,214768,13423020,4
KK Nagar,2413,166,4.0,2.0,6,0,15-03-2001,419905,170587,13122040,9
T Nagar,1649,169,1.0,1.0,4,0,06-03-1984,681808,113635,18939100,13
Velachery,1729,144,2.0,1.0,4,2,18-02-1967,396911,128036,12803570,15
T Nagar,1942,10,2.0,1.0,5,0,29-12-1977,320599,61654,12330740,13
Chrompet,711,116,1.0,1.0,2,2,15-05-2002,249558,64402,8050270,7
Chrompet,885,122,1.0,1.0,3,0,27-09-1981,237422,107919,7194600,7
KK Nagar,1688,148,2.0,1.0,4,2,03-11-1994,547810,285318,11412700,9
Adyar,1236,108,2.0,2.0,4,0,26-10-1970,481414,24071,12035355,0
Karapakkam,926,98,1.0,1.0,3,0,04-07-1991,288834,68770,6877000,12
KK Nagar,1686,57,2.0,1.0,4,0,06-05-1985,382817,196582,10346400,9
Karapakkam,1344,129,2.0,2.0,4,0,29-12-1959,453999,259428,10809500,12
KK Nagar,1437,104,2.0,1.0,4,0,08-04-1989,489629,102006,10200600,9
Karapakkam,1430,17,2.0,2.0,4,2,05-10-1999,238887,106172,6635750,12
Adyar,1081,85,1.0,1.0,3,0,03-11-1978,241416,6190,6190150,0
Karapakkam,1352,1,2.0,2.0,4,2,16-02-1983,240768,123638,6507250,12
KK Nagar,1986,109,3.0,2.0,5,0,27-05-1979,476717,227008,11350400,9
Anna Nagar,1758,164,1.0,1.0,4,2,16-12-1966,713565,231426,19285540,4
Karapakkam,607,121,1.0,1.0,2,0,19-09-1964,175699,117133,5856625,12
KK Nagar,2139,136,3.0,2.0,5,2,30-10-1987,424048,249440,12472000,9
KK Nagar,1488,97,2.0,1.0,4,0,07-03-1983,405211,202606,8441900,9
Velachery,1645,96,2.0,1.0,4,0,03-02-1980,250118,75793,7579320,15
Chrompet,950,177,1.0,1.0,3,2,14-12-1983,273252,146385,9759000,7
Chrompet,928,90,1.0,1.0,3,2,26-01-2010,409985,62119,12423800,7
Velachery,1693,145,2.0,1.0,4,2,31-12-1955,604335,108470,15495760,15
Velachery,1873,0,3.0,2.0,5,2,07-12-1986,363735,198401,11022270,15
Adyar,721,145,1.0,1.0,2,0,06-11-2000,273800,60844,7605550,0
Karapakkam,1190,37,1.0,1.0,3,2,10-11-1982,342613,127484,7967750,12
KK Nagar,1593,9,2.0,1.0,4,0,21-04-1994,402606,223670,8946800,9
Chrompet,786,181,1.0,1.0,2,2,25-02-1998,249610,83203,9244820,7
Chrompet,1195,93,1.0,1.0,3,0,10-12-1992,265183,29465,9821600,7
Velachery,1824,187,3.0,2.0,5,0,11-04-1976,273570,76942,8549060,15
KK Nagar,1906,81,3.0,2.0,5,2,28-03-2001,792637,206086,15852740,9
Adyar,656,20,1.0,1.0,2,0,26-09-2001,280244,113849,8757635,0
Chrompet,727,84,1.0,1.0,2,0,01-06-1991,218816,100992,8415990,7
Adyar,931,37,1.0,1.0,3,2,02-07-1977,367617,19871,9935595,0
Velachery,1898,108,3.0,2.0,5,2,21-01-1969,581625,332357,16617860,15
Anna Nagar,1698,15,1.0,1.0,4,0,07-07-1967,359949,198593,12412050,4
T Nagar,1926,193,2.0,1.0,5,2,31-05-1990,633655,203675,22630540,13
Karapakkam,1481,144,2.0,2.0,4,2,26-12-1972,485174,178227,9901500,12
Anna Nagar,1506,122,1.0,1.0,4,0,14-09-1974,417996,177648,10449910,4
Chrompet,1020,95,1.0,1.0,3,0,07-11-1990,206664,31794,7948600,7
Chrompet,889,196,1.0,1.0,3,0,27-10-1987,300256,136480,9098680,7
Chrompet,1015,147,1.0,1.0,3,2,19-01-1977,275314,66743,8342850,7
T Nagar,1682,78,1.0,1.0,4,0,12-03-1976,690507,111974,18662350,13
Chrompt,869,39,1.0,1.0,3,0,06-05-1995,220661,138935,8172630,8
Karapakkam,1445,20,2.0,2.0,4,0,04-04-1988,216691,87848,5856500,12
Anna Nagar,1919,178,2.0,1.0,5,2,28-06-2001,544054,117633,14704160,4
Adyar,1243,141,2.0,2.0,4,2,26-07-1975,440895,26721,13360440,0
Karapakkam,857,158,1.0,1.0,2,0,09-09-1993,236556,59139,4928250,12
Karapakkam,1055,174,1.0,1.0,3,2,15-04-1962,226769,117042,7315125,12
KK Nagar,1778,94,3.0,2.0,5,0,12-07-2003,340948,153976,10998320,9
Karapakkam,851,124,1.0,1.0,2,0,25-06-1970,181073,39364,3936375,12
Chrompet,1021,82,1.0,1.0,3,2,07-03-2004,276053,147228,9201770,7
KK Nagar,2203,76,3.0,2.0,5,2,09-09-1988,572520,339934,17891240,9
Karapakkam,613,81,1.0,1.0,2,0,08-06-1980,195491,66879,5144500,12
Adyar,738,69,1.0,1.0,2,0,06-09-1989,324194,8313,8312670,0
Karapakkam,1489,177,2.0,2.0,4,0,10-01-1982,384348,200181,8007250,12
Karapakkam,795,73,1.0,1.0,2,2,13-10-2000,254378,127189,8479250,12
Velachery,1909,11,3.0,2.0,5,2,19-02-1979,303875,212712,10129160,15
Chrompet,1252,190,2.0,1.0,4,0,15-10-1999,265502,47411,9482200,7
Karapakkam,1077,144,1.0,1.0,3,0,02-05-1978,305249,246169,9846750,12
KK Nagar,1524,73,2.0,1.0,4,0,18-04-1981,303654,208220,8675820,9
Chrompet,1049,36,1.0,1.0,3,2,19-06-1997,328398,133412,10262450,7
Velachery,1780,194,2.0,1.0,4,0,12-04-1953,329500,130066,8671050,15
Chrompet,946,14,1.0,1.0,3,0,23-10-1991,368463,111656,11165550,7
Chrompet,906,116,1.0,1.0,3,2,26-11-1976,302874,28394,9464800,7
KK Nagar,2344,71,4.0,2.0,6,0,01-12-1986,622046,471247,18849880,9
Adyar,929,76,1.0,1.0,3,2,22-08-1994,341295,75843,9480425,0
Anna Nagar,1843,158,2.0,1.0,5,0,06-08-1994,318884,147177,12264750,4
Anna Nagar,1918,187,2.0,1.0,5,2,11-05-1974,809377,218751,21875050,4
KK Nagar,1507,54,2.0,1.0,4,2,15-11-1989,636313,243694,13538580,9
KK Nagar,1499,89,2.0,1.0,4,0,14-04-2005,372805,186403,8876320,9
KK Nagar,1526,64,2.0,1.0,4,2,09-01-1990,518512,327481,13645040,9
Anna Nagar,1855,82,2.0,1.0,5,2,29-01-1999,839848,188966,20996200,4
Karapakkam,1627,39,2.0,2.0,4,2,01-06-1981,308418,99782,9071125,12
Velachery,1846,28,3.0,2.0,5,0,21-12-1970,378554,129790,10815830,15
KK Nagar,2019,65,3.0,2.0,5,2,10-10-1994,601718,230445,12802500,9
Karapakkam,1578,153,2.0,2.0,4,2,21-04-1998,295508,238313,9532500,12
Velachery,1780,115,2.0,1.0,4,2,23-05-1983,453788,173507,13346700,15
Karapakkam,662,148,1.0,1.0,2,0,19-04-1973,143765,65348,4356500,12
Chrompet,1005,17,1.0,1.0,3,0,13-01-1984,355456,183857,12257100,7
Karapakkam,839,102,1.0,1.0,2,0,02-10-1990,192724,49206,4100500,12
Anna Nagar,1698,76,1.0,1.0,4,0,11-07-1974,403460,80692,11527430,4
Adyar,878,16,1.0,1.0,3,2,17-05-1989,225847,6453,6452785,0
Chrompet,835,77,1.0,1.0,3,2,19-07-1971,227738,33739,8434750,7
Chrompet,911,84,1.0,1.0,3,2,02-05-1978,245118,37139,7427820,7
Velachery,1796,176,2.0,1.0,4,2,05-11-1956,318687,118370,9105350,15
Karapakkam,1004,182,1.0,1.0,3,0,01-11-1981,193582,75544,4721500,12
Anna Nagar,1694,86,1.0,1.0,4,0,23-12-1982,377250,213775,12575010,4
Karapakkam,1244,50,1.0,1.0,3,2,25-06-1980,246535,143150,7952750,12
Karapakkam,588,163,1.0,1.0,2,0,27-02-1986,228220,57055,5705500,12
KK Nagar,2342,69,4.0,2.0,6,2,03-04-2004,567545,180582,12898740,9
Velachery,1835,88,3.0,2.0,5,0,08-09-1978,418181,182284,10722580,15
Anna Nagar,1977,84,2.0,1.0,5,2,27-12-1964,423089,211544,14102960,4
KK Nagar,1961,104,3.0,2.0,5,2,10-01-1996,792581,387484,17612900,9
Velachery,1517,82,2.0,1.0,4,2,27-04-1992,257288,85763,7146890,15
KK Nagar,2409,103,4.0,2.0,6,2,02-07-1984,606442,242577,13476480,9
Velachery,1864,187,3.0,2.0,5,0,22-03-1982,528520,181207,15100560,15
Velachery,1643,52,2.0,1.0,4,2,05-07-1977,577164,249584,15599020,15
Adyar,1015,76,1.0,1.0,3,2,17-03-2004,370412,112246,11224620,0
Anna Nagar,1700,135,1.0,1.0,4,2,18-12-1977,424219,174679,12477040,4
Karapakkam,624,34,1.0,1.0,2,0,02-04-1979,202228,92321,4396250,12
Chrompet,980,84,1.0,1.0,3,0,13-05-1991,380824,130908,11900750,7
Karapakkam,1003,196,1.0,1.0,3,2,19-04-1990,373330,161440,10090000,12
Adyar,1072,66,1.0,1.0,3,2,31-05-2003,264308,33038,6607690,0
Karapakkam,808,119,1.0,1.0,2,0,01-02-1975,161577,90293,4752250,12
Chrompet,1027,131,1.0,1.0,3,0,19-01-1990,215799,44648,7441350,7
Karapakkam,696,84,1.0,1.0,2,0,17-02-1999,212561,77295,6441250,12
Velachery,1716,86,2.0,1.0,4,2,15-02-2002,414394,155398,10359860,15
Velachery,1878,18,3.0,2.0,5,0,13-04-2005,573149,257917,14328720,15
KK Nagar,1699,98,2.0,1.0,4,2,16-12-1995,457764,125885,11444100,9
KK Nagar,1626,188,2.0,1.0,4,0,09-03-1988,348490,135524,9680280,9
KK Nagar,1730,200,2.0,1.0,4,0,02-10-1990,589574,235830,14739360,9
Chrompet,996,78,1.0,1.0,3,0,08-03-1985,295007,151974,8939620,7
Chrmpet,1277,111,2.0,1.0,4,2,02-11-1998,518443,47131,15710400,6
Chrompet,906,64,1.0,1.0,3,0,07-05-1981,327251,30680,10226600,7
Anna Nagar,1976,112,2.0,1.0,5,0,10-01-1972,369002,110700,12300050,4
Velachery,1776,120,2.0,1.0,4,2,14-06-1989,319653,89903,9989170,15
Karapakkam,1402,112,2.0,2.0,4,0,15-01-1981,257761,111464,6966500,12
Chrompet,1160,138,1.0,1.0,3,2,19-06-1978,255525,104103,9463900,7
Velachery,1957,134,3.0,2.0,5,2,23-03-1981,547180,243191,15199450,15
T Nagar,1887,48,2.0,1.0,5,0,22-02-1992,573985,348491,20499450,13
Velachery,1859,142,3.0,2.0,5,2,20-12-1960,297756,138953,9925210,15
Chrompet,747,168,1.0,1.0,2,2,22-12-2001,336707,157130,11223550,7
Adyar,985,159,1.0,1.0,3,2,23-04-2002,265662,44277,7379505,0
Chrompet,1024,77,1.0,1.0,3,2,15-11-1996,302285,108823,12091400,7
Velachery,1600,148,2.0,1.0,4,2,23-12-1984,315906,94772,10530200,15
Chrompet,1276,141,2.0,1.0,4,0,19-10-1977,316936,163270,9604120,7
Chrompet,1159,90,1.0,1.0,3,2,29-06-1974,253758,108754,9062800,7
Karapakkam,1024,142,1.0,1.0,3,2,16-03-1962,166198,94970,4748500,12
Adyar,1249,93,2.0,2.0,4,0,09-08-1991,417195,176992,12642285,0
Chrompet,839,175,1.0,1.0,3,2,21-12-1994,255008,72859,9107430,7
Chrompet,1286,105,2.0,1.0,4,0,24-08-1973,292906,118993,9153300,7
KK Nagar,2467,69,4.0,2.0,6,0,06-10-1995,581942,139160,12650920,9
Karapakkam,653,121,1.0,1.0,2,0,22-06-1995,297775,160340,7635250,12
Karapakkam,606,4,1.0,1.0,2,2,20-01-1993,353430,117810,7854000,12
T Nagar,1837,81,2.0,1.0,5,2,12-03-1978,488298,105578,13197230,13
Velachery,1880,95,3.0,2.0,5,2,25-10-1965,437429,109357,13669670,15
KK Nagar,2189,1,3.0,2.0,5,2,07-04-1988,547496,456247,18249860,9
Velachery,1853,123,3.0,2.0,5,2,04-05-1958,588293,279439,14707330,15
Chrompet,1057,200,1.0,1.0,3,0,04-07-1997,228621,27435,9144840,7
Adyar,723,49,1.0,1.0,2,0,07-02-1979,329098,142609,10969920,0
T Nagar,1812,100,2.0,1.0,5,0,26-01-1966,440951,232724,12248640,13
T Nagar,1788,145,1.0,1.0,4,2,11-07-1991,426755,156477,14225180,13
Velachery,1615,31,2.0,1.0,4,0,08-11-1985,288694,128308,8019280,15
Anna Nagar,1755,85,1.0,1.0,4,0,21-03-1971,308078,182565,11410310,4
Adyar,1296,25,2.0,2.0,4,0,26-04-1988,338320,49753,9950600,0
KK Nagar,1554,18,2.0,1.0,4,2,23-05-2004,479055,229547,9980320,9
Anna Nagar,1737,71,1.0,1.0,4,2,17-09-2005,385905,214392,14292780,4
Karapakkam,785,116,1.0,1.0,2,2,18-09-1997,207104,86293,5752875,12
Karapakkam,1678,70,2.0,2.0,4,2,16-03-1976,475330,202015,11883250,12
KK Nagar,2360,171,4.0,2.0,6,2,25-03-2002,693566,495405,19816180,9
KK Nagar,1464,2,2.0,1.0,4,2,03-08-1982,394575,131525,9394640,9
KK Nagar,1632,156,2.0,1.0,4,2,27-02-1992,514815,262661,10506420,9
Velachery,1755,103,2.0,1.0,4,2,12-09-1980,332987,61340,8762820,15
Velachery,1556,105,2.0,1.0,4,0,03-09-1989,289791,130873,9348100,15
Adyar,1170,120,1.0,1.0,3,0,08-10-1975,337985,18269,9134740,0
Adyar,901,106,1.0,1.0,3,0,21-10-1969,267514,84076,7643255,0
Karapakkam,1160,184,1.0,1.0,3,2,01-10-1990,426540,222156,8886250,12
Karapakkam,1570,170,2.0,2.0,4,2,19-02-2002,243466,128140,6407000,12
Karapakkam,1476,167,2.0,2.0,4,0,03-11-1979,576800,126896,11536000,12
Karapakkam,586,190,1.0,1.0,2,2,25-03-1993,255984,85328,5333000,12
Karapakkam,1059,110,1.0,1.0,3,2,03-07-1977,306121,188382,7849250,12
T Nagar,1712,1,1.0,1.0,4,2,14-08-2005,372538,262157,13797720,13
Adyar,847,7,1.0,1.0,3,0,02-01-1968,284707,14985,7492300,0
Karapakkam,1192,152,1.0,1.0,3,0,31-10-1988,235059,101503,5342250,12
Velachery,1942,126,3.0,2.0,5,2,15-04-1981,583655,324253,16212650,15
Karapakkam,557,105,1.0,1.0,2,2,24-09-1992,183695,94203,4710125,12
Velachery,1728,123,2.0,1.0,4,2,26-06-1990,461853,283071,14898480,15
Velachery,1798,23,2.0,1.0,4,2,14-12-1979,511811,204725,17060380,15
Karapakkam,1497,24,2.0,2.0,4,2,15-11-1976,311929,76249,6931750,12
Chrompet,1173,27,1.0,1.0,3,2,23-04-1977,262285,24589,8196400,7
Anna Nagar,1640,198,1.0,1.0,4,2,17-03-1977,495731,318684,17704670,4
KK Nagar,1747,82,2.0,1.0,4,2,10-01-1992,377464,161770,10784680,9
Karapakkam,1342,183,2.0,2.0,4,2,15-01-1967,287828,211074,9594250,12
T Nagar,2000,31,2.0,1.0,5,0,23-10-1980,435100,95178,13596890,13
Velachery,1987,158,3.0,2.0,5,0,19-04-1995,423940,167345,11156320,15
Karapakkam,1567,2,2.0,2.0,4,0,08-11-1992,247228,193147,7725875,12
Karapakkam,1188,187,1.0,1.0,3,0,17-01-1977,373141,186571,9819500,12
Adyar,737,12,1.0,1.0,2,0,02-12-1978,123814,54169,3869180,0
Karapakkam,785,63,1.0,1.0,2,2,19-07-1997,251663,93642,5852625,12
KK Nagar,2078,13,3.0,2.0,5,0,27-06-1990,475144,106665,9696820,9
Adyar,647,45,1.0,1.0,2,2,14-07-1997,373407,76596,9574550,0
Karapakkam,1171,111,1.0,1.0,3,2,25-11-1993,256310,134258,6102625,12
KK Nagar,2435,124,4.0,2.0,6,2,13-03-1991,850347,364434,20246360,9
Velachery,1805,29,3.0,2.0,5,2,09-03-1990,643358,237027,16930470,15
Karapakkam,1145,38,1.0,1.0,3,0,20-10-1992,264492,82654,5510250,12
Karapakkam,971,15,1.0,1.0,3,0,11-11-1983,287342,156732,6530500,12
Karapakkam,1657,78,2.0,2.0,4,2,17-10-1970,507356,223237,10147125,12
Velachery,1638,16,2.0,1.0,4,2,22-09-2002,300883,116471,9705900,15
Adyar,1284,141,2.0,2.0,4,2,20-01-2005,531547,225505,16107475,0
Adyar,1273,66,2.0,2.0,4,0,05-09-2005,231002,96872,7451690,0
Chrompet,1185,188,1.0,1.0,3,2,15-09-1993,264238,111793,10163000,7
T Nagar,1538,161,1.0,1.0,4,2,21-04-2004,678193,368162,19376950,13
KK Nagar,1929,84,3.0,2.0,5,0,12-10-1978,447655,81392,10173980,9
KK Nagar,1656,30,2.0,1.0,4,2,17-01-1996,392764,163652,10910100,9
Adyar,1287,9,2.0,2.0,4,2,23-02-1995,585531,135123,15013625,0
